page,sentence,head,tail,reldescription,time,inferredtime,type,sourceintext,sourceinfootnote,sourcedate,comments
,"Additionally, in a few instances, IRA employees represented themselves as U.S. persons to communicate with members of the Trump Campaign in an effort to seek assistance and coordination on IRA-organized political rallies inside the United States.  ",Trump Campaign,IRA,assistance,,,positive,,,,
,"Among the U.S. ""leaders of public opinion"" targeted by the IRA were various members and surrogates of the Trump Campaign. ",IRA,surrogates of the Trump Campaign,target,,,positive,,,,
,"In total, Trump Campaign affiliates promoted dozens of tweets, posts, and other political content created by the IRA. ",Trump Campaign,IRA,promotion,,,positive,,,,
,"Posts from the IRA-controlled Twitter account @TEN_GOP were cited or retweeted by multiple Trump Campaign officials and surrogates, including Donald J. Trump Jr., Eric Trump, Kellyanne Conway, Brad Parscale, and Michael T. Flynn.",Donald J. Trump Jr.,IRA,twitter response,2016,,positive,Twitter  ,,2016,
,"Posts from the IRA-controlled Twitter account @TEN_GOP were cited or retweeted by multiple Trump Campaign officials and surrogates, including Donald J. Trump Jr., Eric Trump, Kellyanne Conway, Brad Parscale, and Michael T. Flynn.",Eric Trump,IRA,twitter response,20/10/2016,,positive,Twitter  ,,20/10/2016,
,"Posts from the IRA-controlled Twitter account @TEN_GOP were cited or retweeted by multiple Trump Campaign officials and surrogates, including Donald J. Trump Jr., Eric Trump, Kellyanne Conway, Brad Parscale, and Michael T. Flynn.",Kellyanne Conway,IRA,twitter response,6/11/16,,positive,Twitter  ,,6/11/16,
,"Posts from the IRA-controlled Twitter account @TEN_GOP were cited or retweeted by multiple Trump Campaign officials and surrogates, including Donald J. Trump Jr., Eric Trump, Kellyanne Conway, Brad Parscale, and Michael T. Flynn.",Brad Parscale,IRA,twitter response,15/10/2016,,positive,Twitter  ,,15/10/2016,
,"Posts from the IRA-controlled Twitter account @TEN_GOP were cited or retweeted by multiple Trump Campaign officials and surrogates, including Donald J. Trump Jr., Eric Trump, Kellyanne Conway, Brad Parscale, and Michael T. Flynn.",Michael T. Flynn,IRA,twitter response,7/11/16,,positive,Twitter  ,,7/11/16,
42,"These posts included allegations of voter fraud, 101 as well as allegations that Secretary Clinton had mishandled classified information.",posts,Clinton,allegation,6/11/16,,positive,Twitter  ,,6/11/16,
,"A November 7, 2016 post from the IRA-controlled Twitter account @Pamela_Moorel3 was retweeted by Donald J. Trump Jr.",Donald J. Trump Jr.,IRA,twitter response,7/11/16,,positive,Twitter,,7/11/16,
,"On September 19, 2017, President Trump's personal account @realDonaldTrump responded to a tweet from the IRA-controlled account @10_gop (the backup account of @TEN GOP, which had already been deactivated by Twitter). ",President Trump,IRA,twitter response,19/9/2017,,positive,Twitter,,19/9/2017,
,"The tweet read: ""We love you, Mr. President!""",tweet,Mr. President,support,19/9/2017,,positive,Twitter,,19/9/2017,
,"IRA employees monitored the reaction of the Trump Campaign and, later, Trump Administration officials to their tweets. ",IRA,Trump Campaign,monitor,,2016,neutral,,,,
,"IRA employees monitored the reaction of the Trump Campaign and, later, Trump Administration officials to their tweets. ",IRA,Trump Administration,monitor,,2017,neutral,,,,
,"For example, on August 23, 2016, the IRA-controlled persona ""Matt Skiber"" Facebook account sent a message to a U.S. Tea Party activist, writing that ""Mr. Trump posted about our event in Miami! This is great!""",IRA,a U.S. Tea Party activist,facebook message,23/8/2016,,neutral,Facebook,,23/8/2016,
,"The IRA employee included a screenshot of candidate Trump's Facebook account, which included a post about the August 20, 2016 political rallies organized by the IRA.",Trump,IRA,facebook post,20/8/2016,,positive,facebook,,20/8/2016,
43,"Starting in June 2016, the IRA contacted different U.S. persons affiliated with the Trump Campaign in an effort to coordinate pro-Trump IRA-organized rallies inside the United States. ",IRA,persons affiliated with the Trump Campaign,contact via fake identities,16-Jun,,neutral,,,,
,"In all cases, the IRA contacted the Campaign while claiming to be U.S. political activists working on behalf of a conservative grassroots organization. ",IRA,Campaign,contact via fake identities,16-Jun,,neutral,,,,
," While certain Campaign volunteers agreed to provide the requested support (for example, agreeing to set aside a number of signs), the investigation has not identified evidence that any Trump Campaign official understood the requests were coming from foreign nationals. ",Campaign,foreign nationals,(no) identification,,,neutral,,,,
,"In sum, the investigation established that Russia interfered in the 2016 presidential election through the ""active measures"" social media Campaign carried out by the IRA, an organization funded by Prigozhin and companies that he controlled. ",IRA,2016 presidential election,election interference,2016,,negative,,,,
,"In sum, the investigation established that Russia interfered in the 2016 presidential election through the ""active measures"" social media Campaign carried out by the IRA, an organization funded by Prigozhin and companies that he controlled. ",IRA,Russia,representative,,,is part of ,,,,
,"In sum, the investigation established that Russia interfered in the 2016 presidential election through the ""active measures"" social media Campaign carried out by the IRA, an organization funded by Prigozhin and companies that he controlled. ",Prigozhin,IRA,funding,,,is part of ,,,,
,"As explained further in Volume I, Section V.A, infra, the Office concluded (and a grand jury has alleged) that Prigozhin, his companies, and IRA employees violated U.S. law through these operations, principally by undermining through deceptive acts the work of federal agencies charged with regulating foreign influence in U.S. elections",IRA,U.S. elections,election interference,2016,,negative,,,,
,"As explained further in Volume I, Section V.A, infra, the Office concluded (and a grand jury has alleged) that Prigozhin, his companies, and IRA employees violated U.S. law through these operations, principally by undermining through deceptive acts the work of federal agencies charged with regulating foreign influence in U.S. elections",Prigozhin,U.S. elections,election interference,2016,,negative,,,,
